Type	Count	SpawnTime	SpawnDelay	SpawnPoint	Root	WaitNode	PosError	DefensePoint	UseAstar
Root	2	0	0.5	8.2	3.3 3.2 1.2 1.3 0.3			0.3	TRUE
Originium_Slug	1	5	1	8.2	3.3 3.2 1.2 1.3 0.3			0.3	TRUE
Originium_Slug	2	16	2	8.2	3.3 3.2 1.2 1.3 0.3			0.3	TRUE
Root	2	24	0.5	8.2	3.3 3.2 1.2 1.3 0.3			0.3	TRUE
Originium_Slug	2	29	0.7	8.2	3.3 3.2 1.2 1.3 0.3			0.3	TRUE
Originium_Slug	1	34	1	8.2	3.3 3.2 1.2 1.3 0.3			0.3	TRUE
Originium_Slug	2	45	0.7	8.2	3.3 3.2 1.2 1.3 0.3			0.3	TRUE
Originium_Slug	2	52	0.7	8.2	3.3 3.2 1.2 1.3 0.3			0.3	TRUE
Root	2	58.7	0.5	8.2	7.2 3.3 3.2 1.2 1.3 0.3			0.3	FALSE
Soldier	1	63.7	1	8.2	7.2 3.3 3.2 1.2 1.3 0.3	7.2.3		0.3	FALSE
